Thursday,06,March,2014,22:53:59
1ML 906 032 A,,1.8l R4/5VT         0002,

,Group A:,'001,,,,Group B:,'031,,,,Group C:,'118
,,Engine Speed,Coolant,Lambda Control,Basic Setting,,Lambda Control,Lambda Control,Bin. Bits,Bin. Bits,,Engine Speed,Intake Air,Boost Pressure,Boost Pressure
,42.53,2840,85.0,0.0,01110001,42.84,1.991,1.047,        ,        ,43.14,2840,27.0,0.0,1010.0
,43.44,2800,84.0,0.0,01110001,43.74,1.991,1.047,        ,        ,44.03,2800,27.0,0.0,1010.0
,44.34,2760,84.0,0.0,01110001,44.64,1.991,1.047,        ,        ,44.94,2720,27.0,0.0,1010.0
,45.25,2680,84.0,0.0,01110001,45.54,1.991,1.047,        ,        ,45.84,2640,27.0,0.0,1010.0
,46.16,2640,84.0,0.0,01110001,46.46,1.991,1.047,        ,        ,46.76,2600,27.0,0.0,1010.0
,47.05,2560,84.0,0.0,01110101,47.36,1.991,1.047,        ,        ,47.66,2520,27.0,0.0,1010.0
,47.96,2520,83.0,0.0,01110101,48.26,1.991,1.047,        ,        ,48.56,2480,27.0,0.0,1010.0
,48.87,2440,83.0,0.0,01110101,49.16,1.991,1.047,        ,        ,49.48,2400,27.0,0.0,1010.0
,49.77,2360,82.0,0.0,01110101,50.07,1.991,1.047,        ,        ,50.38,2360,27.0,0.0,1010.0
,50.67,2280,82.0,0.0,01110101,50.97,1.991,1.047,        ,        ,51.28,2120,27.0,0.0,1010.0
,51.58,2040,82.0,0.0,01110101,51.89,1.991,1.047,        ,        ,52.18,1840,27.0,0.0,1000.0
,52.48,1720,81.0,0.0,01110111,52.78,1.991,1.047,        ,        ,53.10,1440,28.0,0.0,1000.0
,53.39,1320,81.0,0.0,01110111,53.69,1.991,1.000,        ,        ,53.99,920,29.0,0.0,990.0
,54.29,840,81.0,0.0,01110111,54.59,1.647,0.945,        ,        ,54.90,800,29.0,0.0,990.0
,55.20,800,81.0,0.0,01110111,55.50,1.047,0.945,        ,        ,55.80,760,29.0,0.0,990.0
,56.10,760,81.0,4.7,01111111,56.40,0.945,0.945,        ,        ,56.72,760,29.0,0.0,990.0
,57.01,760,81.0,1.6,01111111,57.31,0.922,0.945,        ,        ,57.61,720,29.0,0.0,980.0
,57.91,720,81.0,-0.8,01111111,58.23,0.938,0.945,        ,        ,58.52,760,29.0,0.0,980.0
,58.82,760,81.0,-1.6,01111111,59.12,0.945,0.945,        ,        ,59.42,760,29.0,0.0,980.0
,59.72,760,81.0,-1.6,01111111,60.04,0.945,0.945,        ,        ,60.33,760,29.0,0.0,980.0
,60.63,720,81.0,-2.3,01111111,60.93,0.938,0.945,        ,        ,61.23,720,29.0,0.0,980.0
,61.53,760,81.0,-3.1,01111111,61.85,0.953,0.945,        ,        ,62.15,760,29.0,0.0,980.0
,62.44,720,81.0,-3.1,01111111,62.74,0.953,0.945,        ,        ,63.04,760,29.0,0.0,980.0
,63.35,720,81.0,-3.1,01111111,63.65,0.953,0.945,        ,        ,63.95,720,29.0,0.0,980.0
,64.25,720,81.0,-3.1,01111111,64.55,0.945,0.945,        ,        ,64.85,760,29.0,0.0,980.0
