Thursday,06,March,2014,22:45:15
1ML 906 032 A,,1.8l R4/5VT         0002,

,Group A:,'002,,,,Group B:,'032,,,,Group C:,'115
,,Engine Speed,Engine Load,Injection Timing,Mass Air Flow,,Adaptation (Idle),Adaptation (Partial),Bin. Bits,Bin. Bits,,Engine Speed,Engine Load,Boost Pressure,Boost Pressure
2,42.81,1520,16.5,1.70,4.56,43.10,0.4,-7.0,        ,        ,43.41,1520,15.8,1000.0,1000.0
,43.70,1520,15.8,1.70,4.36,44.01,0.4,-7.0,        ,        ,44.32,1560,17.3,1000.0,1000.0
,44.61,1640,17.3,1.70,5.14,44.91,0.4,-7.0,        ,        ,45.22,1760,19.5,1000.0,1000.0
,45.52,1840,18.8,1.70,6.47,45.82,0.4,-7.0,        ,        ,46.13,2040,18.8,1000.0,1000.0
,46.43,2120,18.0,1.70,6.61,46.73,0.4,-7.0,        ,        ,47.03,2160,16.5,1000.0,1000.0
,47.33,2160,15.8,1.70,6.08,47.64,0.4,-7.0,        ,        ,47.94,2120,16.5,1000.0,1000.0
,48.24,2120,16.5,1.70,6.17,48.54,0.4,-7.0,        ,        ,48.84,2160,15.8,1000.0,1000.0
,49.14,2120,15.8,1.36,6.08,49.45,0.4,-7.0,        ,        ,49.75,2080,15.8,1000.0,1000.0
,50.05,2080,15.8,1.36,5.86,50.35,0.4,-7.0,        ,        ,50.65,2040,16.5,1000.0,1000.0
,50.96,2040,16.5,1.70,5.75,51.25,0.4,-7.0,        ,        ,51.56,2000,16.5,1000.0,1000.0
,51.85,2000,15.8,1.36,5.53,52.16,0.4,-7.0,        ,        ,52.45,2000,15.8,1000.0,1000.0
,52.77,2000,15.8,1.70,5.61,53.07,0.4,-7.0,        ,        ,53.36,2000,16.5,1000.0,1000.0
,53.66,2000,15.8,1.70,5.47,53.97,0.4,-7.0,        ,        ,54.27,2000,16.5,1000.0,1000.0
,54.58,2000,16.5,1.70,5.50,54.88,0.4,-7.0,        ,        ,55.17,2000,16.5,1000.0,1000.0
,55.48,2000,15.8,1.70,5.64,55.78,0.4,-7.0,        ,        ,56.07,2000,16.5,1000.0,1000.0
,56.38,2000,16.5,1.70,5.56,56.69,0.4,-7.0,        ,        ,56.98,2000,15.8,1000.0,1000.0
,57.28,2000,16.5,1.70,5.58,57.59,0.4,-7.0,        ,        ,57.89,2000,16.5,1000.0,1000.0
,58.19,2000,15.8,1.70,5.47,58.50,0.4,-7.0,        ,        ,58.80,2000,15.8,1000.0,1000.0
,59.09,2000,16.5,1.70,5.50,59.39,0.4,-7.0,        ,        ,59.70,2000,15.8,1000.0,1000.0
,60.01,2000,15.8,1.70,5.61,60.31,0.4,-7.0,        ,        ,60.60,2000,15.8,1000.0,1000.0
,60.90,2000,15.8,1.70,5.53,61.22,0.4,-7.0,        ,        ,61.52,2000,16.5,1000.0,1000.0
,61.81,2000,15.8,1.70,5.39,62.11,0.4,-7.0,        ,        ,62.42,2000,15.8,1000.0,1000.0
3,62.73,2000,16.5,1.70,5.56,63.01,0.4,-7.0,        ,        ,63.32,2000,15.8,1000.0,1000.0
,63.63,2000,15.8,1.36,5.47,63.93,0.4,-7.0,        ,        ,64.23,2080,17.3,1000.0,1000.0
,64.53,2120,17.3,1.36,6.28,64.83,0.4,-7.0,        ,        ,65.14,2200,18.0,1000.0,1000.0
,65.44,2240,17.3,1.70,6.81,65.74,0.4,-7.0,        ,        ,66.03,2320,17.3,1000.0,1000.0
,66.34,2320,17.3,1.70,6.69,66.64,0.4,-7.0,        ,        ,66.95,2360,17.3,1000.0,1000.0
,67.25,2360,16.5,1.70,6.89,67.55,0.4,-7.0,        ,        ,67.85,2400,16.5,1000.0,1000.0
,68.15,2400,16.5,1.70,6.92,68.46,0.4,-7.0,        ,        ,68.76,2400,17.3,1000.0,1000.0
,69.05,2440,16.5,1.70,6.83,69.36,0.4,-7.0,        ,        ,69.65,2400,16.5,1000.0,1010.0
,69.96,2440,16.5,1.70,6.92,70.27,0.4,-7.0,        ,        ,70.57,2480,18.0,1000.0,1000.0
,70.87,2520,17.3,1.70,7.47,71.17,0.4,-7.0,        ,        ,71.47,2560,18.0,1000.0,1000.0
,71.77,2600,17.3,1.70,7.58,72.08,0.4,-7.0,        ,        ,72.38,2560,16.5,1000.0,1000.0
,72.67,2520,16.5,1.36,7.03,72.97,0.4,-7.0,        ,        ,73.28,2480,16.5,1000.0,1000.0
,73.57,2440,16.5,1.70,6.86,73.89,0.4,-7.0,        ,        ,74.18,2440,16.5,1000.0,1000.0
,74.49,2440,16.5,1.70,7.00,74.79,0.4,-7.0,        ,        ,75.09,2440,16.5,1000.0,1000.0
,75.39,2440,17.3,1.70,7.22,75.70,0.4,-7.0,        ,        ,76.00,2440,16.5,1000.0,1000.0
,76.30,2440,16.5,1.36,6.97,76.60,0.4,-7.0,        ,        ,76.90,2440,16.5,1000.0,1000.0
,77.21,2480,16.5,1.36,7.00,77.51,0.4,-7.0,        ,        ,77.81,2440,16.5,1000.0,1000.0
,78.11,2440,16.5,1.70,6.94,78.41,0.4,-7.0,        ,        ,78.71,2440,16.5,1000.0,1000.0
,79.01,2440,16.5,1.36,7.00,79.31,0.4,-7.0,        ,        ,79.61,2480,16.5,1000.0,1010.0
,79.92,2480,17.3,1.70,7.14,80.22,0.4,-7.0,        ,        ,80.52,2480,16.5,1000.0,1000.0
,80.83,2480,16.5,1.70,6.94,81.13,0.4,-7.0,        ,        ,81.43,2440,17.3,1000.0,1000.0
,81.73,2480,16.5,1.70,6.92,82.03,0.4,-7.0,        ,        ,82.33,2440,16.5,1000.0,1010.0
4,82.63,2200,14.3,0.00,6.47,82.93,0.4,-7.0,        ,        ,83.23,1520,14.3,1000.0,1010.0
,83.53,1280,16.5,1.36,4.39,83.83,0.4,-7.0,        ,        ,84.13,1080,17.3,1000.0,1000.0
